kind	name	refCount	postCount	changeCount	commitCount	smellCount	hasSmell	LOC	Nesting	WMC	DIT	NOC	CBO	RFC	LCOM	ADD	ADDING_ATTRIBUTE_MODIFIABILITY	ADDING_CLASS_DERIVABILITY	ADDING_METHOD_OVERRIDABILITY	ADDITIONAL_CLASS	ADDITIONAL_FUNCTIONALITY	ADDITIONAL_OBJECT_STATE	ALTERNATIVE_PART_DELETE	ALTERNATIVE_PART_INSERT	ATTRIBUTE_RENAMING	ATTRIBUTE_TYPE_CHANGE	CLASS_RENAMING	COMMENT_DELETE	COMMENT_INSERT	COMMENT_MOVE	COMMENT_UPDATE	CONDITION_EXPRESSION_CHANGE	DECREASING_ACCESSIBILITY_CHANGE	DELETE	DOC_DELETE	DOC_INSERT	DOC_UPDATE	METHOD_RENAMING	MODIFY	PARAMETER_DELETE	PARAMETER_INSERT	PARAMETER_ORDERING_CHANGE	PARAMETER_RENAMING	PARAMETER_TYPE_CHANGE	PARENT_CLASS_CHANGE	PARENT_CLASS_DELETE	PARENT_CLASS_INSERT	PARENT_INTERFACE_CHANGE	PARENT_INTERFACE_DELETE	PARENT_INTERFACE_INSERT	REMOVED_CLASS	REMOVED_FUNCTIONALITY	REMOVED_OBJECT_STATE	REMOVING_ATTRIBUTE_MODIFIABILITY	REMOVING_CLASS_DERIVABILITY	REMOVING_METHOD_OVERRIDABILITY	RETURN_TYPE_CHANGE	RETURN_TYPE_DELETE	RETURN_TYPE_INSERT	STATEMENT_DELETE	STATEMENT_INSERT	STATEMENT_ORDERING_CHANGE	STATEMENT_PARENT_CHANGE	STATEMENT_UPDATE	UNCLASSIFIED_CHANGE	ForwardEngineering	ReEngineering	CorrectiveEngineering	Management	usageCount	refDensity
Public Class	android.os.BatteryManager	34	18	117	30	0	0	30	0	0	0	0	1	13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	6	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	80	122	25	135	22	1.5455
Public Class	android.os.Binder	341	166	312	74	0	0	184	3	37	0	37	21	41	94	1	0	0	0	0	12	0	7	0	0	0	0	14	0	0	0	5	0	1	0	0	2	0	72	0	0	0	0	0	0	0	0	0	0	0	0	46	6	0	0	0	0	0	0	98	13	6	16	13	0	91	334	193	212	28961	0.0118
Public Class	android.os.Build	1066	944	520	244	0	0	72	1	4	0	0	6	16	98	1	0	0	0	0	0	13	0	0	14	0	0	0	0	0	0	0	1	1	8	0	111	0	242	0	0	0	0	0	0	0	0	0	0	0	5	2	122	0	0	0	0	0	0	0	0	0	0	0	0	257	586	174	399	12922	0.0825
Public Class	android.os.Bundle	356132	197032	813	56	0	0	911	7	207	0	0	29	116	89	1	0	0	0	0	0	0	18	3	3	2	0	30	7	6	0	6	0	1	0	0	54	0	54	0	0	0	0	0	0	0	0	0	0	0	0	49	10	0	0	0	0	0	0	275	158	8	74	54	0	357	1028	913	569	97837	3.6401
Public Class	android.os.CancellationSignal	723	561	6	6	0	0	103	3	22	0	0	5	22	72	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	5	305	2.3705
Public Class	android.os.ConditionVariable	1359	788	6	6	0	0	61	3	12	0	0	2	19	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	7	652	2.0844
Public Abstract Class	android.os.CountDownTimer	9061	2710	5	5	0	0	43	1	6	0	2	2	18	68	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	3	1667	5.4355
Public Class	android.os.DeadObjectException	6	6	2	2	0	0	5	0	1	2	0	0	45	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1646	0.0036
Public Class	android.os.Debug	687	366	1002	159	0	0	672	5	111	0	0	39	101	99	1	0	0	0	0	0	0	0	4	0	0	0	0	15	0	0	3	0	1	133	0	38	5	157	7	0	0	0	0	0	0	0	0	6	0	0	175	80	0	0	0	2	0	0	147	116	72	0	40	0	606	1007	641	860	945	0.7270
Public Class	android.os.DropBoxManager	1	1	473	45	0	0	156	1	14	0	0	6	20	88	3	0	0	0	0	5	0	0	0	0	0	0	5	0	0	0	4	0	0	0	0	13	0	42	4	4	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	292	34	0	10	34	0	233	390	83	435	1	1.0000
Public Class	android.os.Environment	39070	17160	1424	147	0	0	344	3	54	0	0	19	46	97	1	2	0	0	4	30	49	0	0	19	2	0	12	14	15	0	17	2	1	4	0	94	28	145	0	0	0	0	0	0	0	0	0	0	0	8	138	138	0	0	0	0	0	0	279	220	4	40	158	0	771	1381	337	1265	10168	3.8424
Public Abstract Class	android.os.FileObserver	295	108	142	26	0	0	96	1	8	0	12	4	19	90	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	97	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	6	5	0	57	139	20	206	169	1.7456
Public Class	android.os.Handler	51988	19488	456	52	1	1	294	3	60	0	263	19	57	91	1	0	0	0	0	0	0	4	8	0	0	0	4	0	0	0	8	0	1	0	0	31	0	50	8	0	0	0	0	0	0	0	0	0	0	6	26	6	0	0	3	0	0	0	102	160	0	20	15	3	414	385	104	355	89313	0.5821
Public Class	android.os.HandlerThread	1257	467	51	23	0	0	61	2	13	0	8	5	96	70	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	5	0	21	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	3	0	0	6	62	35	48	4722	0.2662
Public Interface	android.os.IBinder	2023	1557	57	33	0	0	25	0	9	0	2	6	9	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	31	0	0	0	0	0	0	0	0	0	0	0	0	8	14	0	0	0	0	0	0	0	0	0	0	0	0	16	54	26	67	62742	0.0322
Public Interface	android.os.IInterface	22	13	2	2	0	0	4	0	1	0	12	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17958	0.0012
Public Class	android.os.Looper	5529	2228	485	70	0	0	109	2	27	0	0	16	32	81	1	3	4	0	5	2	9	0	0	2	3	0	16	7	7	0	8	3	1	2	0	10	0	68	4	0	0	0	0	0	0	0	0	0	0	1	23	6	0	0	14	0	0	0	72	89	13	53	59	0	248	794	361	448	23522	0.2351
Public Class	android.os.MemoryFile	918	662	421	30	0	0	186	2	25	0	0	11	36	84	1	0	0	0	0	23	8	3	0	0	0	0	5	0	0	0	5	3	1	3	0	25	9	28	8	5	0	0	15	0	0	0	0	0	0	0	67	20	0	0	0	5	0	5	97	35	0	8	12	27	351	326	234	295	41	22.3902
Public Class	android.os.Message	14464	7021	328	34	0	0	254	2	44	0	0	14	42	83	1	5	0	0	0	4	6	6	0	15	0	0	0	0	0	0	12	0	1	0	0	12	0	32	0	0	0	0	0	0	0	0	0	0	0	0	22	26	0	0	2	0	0	0	64	68	2	14	36	0	114	277	218	313	28631	0.5052
Public Class	android.os.MessageQueue	65	51	1455	71	0	0	401	4	84	0	0	19	38	83	1	2	4	0	0	34	6	20	12	2	4	0	92	28	28	16	42	0	1	0	4	0	4	69	21	2	0	0	0	0	0	0	0	0	0	0	81	25	0	0	48	0	5	8	374	234	31	163	76	12	847	2265	413	1451	241	0.2697
Public Class	android.os.Messenger	1486	524	4	4	0	0	54	1	14	0	0	7	23	60	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3	2352	0.6318
Public Class	android.os.NetworkOnMainThreadException	29	29	3	3	0	0	2	0	0	0	0	0	42	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	28	1.0357
Public Class	android.os.OperationCanceledException	66	65	4	4	0	0	8	0	3	0	0	1	44	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	49	1.3469
Public Class	android.os.Parcel	17522	2237	889	68	0	0	1413	3	371	0	0	57	178	98	1	0	0	0	0	6	2	12	6	2	0	0	14	30	0	0	41	12	1	0	0	16	6	66	8	4	0	0	0	0	0	0	0	0	0	0	106	16	0	0	0	0	0	0	221	239	7	28	41	4	253	822	539	646	116755	0.1501
Public Interface	android.os.Parcelable	3487	1893	19	15	0	0	13	0	2	0	306	1	2	100	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	21	11	29	17952	0.1942
Public Class	android.os.ParcelFileDescriptor	1763	797	965	76	0	0	547	3	100	0	1	25	50	91	1	0	0	0	0	10	6	28	4	6	0	0	10	2	11	0	6	5	1	12	0	30	2	74	4	8	0	8	0	0	0	0	0	0	0	8	90	22	0	0	0	0	2	6	270	137	2	128	67	5	393	1298	653	946	4060	0.4342
Public Class	android.os.ParcelUuid	171	96	8	8	0	0	53	1	11	0	0	5	21	62	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	6	99	1.7273
Public Class	android.os.PatternMatcher	1093	843	2	2	0	0	128	5	36	0	1	3	22	66	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	273.2500
Public Class	android.os.PowerManager	4839	1664	788	128	0	0	238	1	31	0	0	9	29	93	1	12	4	0	0	6	38	0	0	8	0	0	2	0	0	0	0	0	1	4	4	96	0	126	6	0	0	2	0	0	0	0	0	0	0	0	76	75	0	0	0	0	0	0	82	160	2	22	45	0	366	909	463	900	2674	1.8096
Public Class	android.os.Process	1663	880	785	176	0	0	317	4	45	0	0	23	55	99	1	0	0	1	0	4	6	11	12	4	0	0	4	8	0	0	8	0	1	0	0	51	6	174	30	8	0	0	0	0	0	0	0	0	0	6	77	102	0	0	0	29	0	0	113	86	0	10	31	0	424	680	303	589	7690	0.2163
Public Class	android.os.RecoverySystem	12	5	275	57	0	0	220	4	37	0	0	35	21	81	1	0	0	0	0	6	0	0	14	2	0	0	5	0	0	8	2	0	0	0	0	24	0	56	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0	0	0	0	0	66	43	12	8	18	0	23	241	9	244	0	-1.0000
Public Generic Class	android.os.RemoteCallbackList	316	168	267	26	0	0	113	2	23	0	2	6	24	68	1	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	1	0	0	16	0	24	6	0	0	0	0	0	0	0	0	0	0	0	23	10	0	0	0	0	0	0	54	80	0	4	40	0	97	315	22	295	169	1.8698
Public Class	android.os.RemoteException	1334	943	14	8	0	0	8	0	2	1	2	1	44	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	12	10	106182	0.0126
Public Class	android.os.ResultReceiver	635	225	2	2	0	0	72	2	11	0	1	7	19	62	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1372	0.4628
Public Class	android.os.StatFs	931	212	238	20	0	0	53	1	15	0	0	3	27	7	1	0	0	0	0	18	6	0	0	0	5	0	0	0	0	0	0	0	1	0	0	61	6	18	0	0	0	0	0	0	0	0	0	0	0	0	22	6	0	0	0	5	6	0	60	12	0	0	5	6	190	159	42	204	2161	0.4308
Public Abstract Class	android.os.storage.OnObbStateChangeListener	19	10	77	17	0	0	12	0	1	0	2	1	14	100	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	12	0	0	0	0	6	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	26	135	23	106	7	2.7143
Public Class	android.os.storage.StorageManager	80	31	1100	87	0	0	349	2	48	0	0	29	33	81	2	9	0	0	0	0	0	0	0	0	23	5	0	6	0	0	6	0	0	4	0	79	0	85	39	20	0	0	18	0	0	0	0	0	0	14	54	33	0	0	0	5	6	4	372	233	3	24	43	0	888	1368	477	1194	61	1.3115
Public Class	android.os.StrictMode	4404	2091	2657	199	0	0	1152	2	102	0	0	49	56	96	3	4	0	0	0	26	37	20	14	4	4	0	73	62	5	6	85	15	0	31	5	119	21	196	0	4	0	4	0	9	0	0	0	0	0	51	222	190	0	0	0	15	0	0	703	357	16	84	267	0	579	2223	310	2480	578	7.6194
Public Class	android.os.SystemClock	6805	2718	64	28	0	0	29	2	5	0	0	2	22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16	15	26	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	3	36	90	48	14947	0.4553
Public Abstract Class	android.os.TokenWatcher	21	17	59	11	0	0	136	1	22	0	2	11	24	80	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	12	28	0	0	0	0	156	158	26	70	0	-1.0000
Public Class	android.os.Trace	13	9	367	72	0	0	98	2	21	0	0	3	33	98	2	0	0	0	0	4	12	0	0	5	0	0	0	4	0	0	28	0	0	52	0	12	4	70	0	0	0	0	0	0	0	0	0	0	0	3	50	68	3	0	0	0	0	0	24	14	0	0	6	6	269	292	82	288	248	0.0524
Public Class	android.os.UserHandle	76	32	195	33	0	0	155	2	36	0	0	9	35	94	3	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	4	3	0	12	0	3	0	30	3	0	0	0	0	0	0	0	0	3	0	0	38	29	0	0	0	0	0	0	31	8	0	12	8	0	151	187	15	75	30	2.5333
Public Class	android.os.UserManager	94	61	556	126	0	0	278	1	71	0	0	15	54	92	4	0	0	0	0	11	2	0	0	20	0	0	5	0	0	0	0	0	0	4	0	111	6	122	9	4	0	0	0	0	0	0	0	0	0	0	112	47	0	0	0	5	0	5	22	17	0	0	40	10	234	461	175	475	146	0.6438
Public Abstract Class	android.os.Vibrator	3911	1514	285	35	0	0	10	0	7	0	3	1	20	0	1	0	0	0	0	0	6	0	2	0	4	0	0	2	0	0	0	0	1	0	0	20	0	33	0	0	0	0	0	0	0	0	0	0	0	0	6	10	0	0	0	0	0	0	84	78	0	0	28	10	232	237	162	242	1369	2.8568
Public Class	android.os.WorkSource	9506	6073	564	32	0	0	579	5	152	0	0	10	50	70	5	0	0	0	0	3	0	15	18	0	0	0	3	12	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	56	9	0	0	0	0	0	0	192	209	0	3	12	0	36	417	32	385	291	32.6667
Public Class	android.preference.CheckBoxPreference	747	290	272	24	0	0	28	1	5	2	0	6	138	0	1	0	0	0	2	32	12	0	2	0	0	0	16	11	0	0	0	0	1	0	0	0	0	22	0	0	0	0	0	2	0	0	0	0	0	0	0	10	0	0	0	0	0	0	68	68	0	16	9	0	160	219	19	153	915	0.8164
Public Abstract Class	android.preference.DialogPreference	1087	278	88	31	0	0	216	3	47	1	6	24	146	87	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	29	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	22	2	0	0	17	0	13	64	30	72	232	4.6853
Public Class	android.preference.EditTextPreference	33973	19477	20	12	0	0	122	2	24	2	0	17	161	73	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	2	0	4	12	8	12	263	129.1749
Public Class	android.preference.ListPreference	2412	856	74	11	0	0	175	3	38	2	0	15	168	83	1	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	1	0	0	2	0	9	0	0	0	0	0	0	0	0	0	0	0	0	10	7	0	0	0	0	0	0	27	0	0	4	2	0	8	68	38	54	776	3.1082
Public Class	android.preference.MultiSelectListPreference	233	118	25	9	0	0	150	3	27	2	0	14	163	78	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	0	0	4	0	12	26	37	21	22	10.5909
Public Class	android.preference.Preference	7989	4268	735	95	0	0	714	3	200	0	5	39	113	95	1	0	0	0	0	2	5	13	0	2	0	0	26	4	12	2	32	4	1	0	0	91	0	93	0	0	0	0	0	0	0	0	0	0	2	0	32	23	0	0	0	0	0	0	174	70	58	53	35	0	411	742	282	641	2065	3.8688
Public Abstract Class	android.preference.PreferenceActivity	4961	2224	1951	155	1	1	856	5	163	5	5	48	528	94	1	0	2	0	1	6	11	66	18	1	3	0	55	4	6	0	34	7	1	1	0	59	1	153	18	3	0	0	0	0	0	0	0	5	0	8	122	109	0	0	0	1	0	0	705	224	23	159	140	1	1746	3250	1634	1771	564	8.7961
Public Class	android.preference.PreferenceCategory	389	183	13	11	0	0	28	1	7	2	0	5	139	83	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	14	6	2	4	405	0.9605
Public Abstract Class	android.preference.PreferenceFragment	4099	1856	102	40	0	0	187	3	37	1	2	19	132	85	3	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	0	2	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	1	6	2	0	0	0	0	0	0	21	17	0	4	3	0	60	83	56	82	452	9.0686
Public Abstract Class	android.preference.PreferenceGroup	213	102	29	15	0	0	153	3	37	1	2	11	133	81	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	6	4	0	0	0	0	24	16	7	12	147	1.4490
Public Class	android.preference.PreferenceManager	14607	5843	213	36	0	0	337	3	78	0	0	29	57	94	1	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	16	1	10	3	18	0	34	0	0	0	0	0	0	0	0	0	0	0	0	8	3	0	0	0	0	0	0	48	29	0	11	14	0	49	132	12	226	7912	1.8462
Public Class	android.preference.PreferenceScreen	673	373	189	43	0	0	127	1	22	2	0	21	145	83	1	0	0	0	0	0	0	3	0	0	0	0	10	0	0	0	6	0	1	0	0	6	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	66	14	3	3	28	0	100	125	120	137	895	0.7520
Public Class	android.preference.RingtonePreference	371	326	33	15	1	1	106	3	27	1	0	13	130	82	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	3	0	0	14	5	22	28	39	9.5128
Public Class	android.preference.SwitchPreference	186	76	47	10	0	0	71	2	12	2	0	10	144	76	2	0	0	0	0	3	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	9	6	0	0	5	0	5	43	69	30	112	1.6607
Public Abstract Class	android.preference.TwoStatePreference	1881	941	157	16	0	0	168	3	38	1	2	15	134	86	2	0	0	0	3	0	8	0	0	0	0	0	7	6	0	0	15	0	0	0	3	2	5	14	0	0	0	0	0	0	0	0	0	0	0	2	0	9	0	0	0	0	0	0	38	22	0	11	10	0	41	187	73	106	37	50.8378
Public Class	android.print.PageRange	33	16	24	12	0	0	88	1	18	0	0	7	22	66	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	4	0	10	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	32	46	13	27	126	0.2619
Public Class	android.print.pdf.PrintedPdfDocument	80	39	86	9	1	1	41	0	5	1	0	8	33	56	2	0	0	0	0	8	4	0	0	2	0	0	0	0	0	0	0	2	0	0	0	8	2	7	0	0	0	0	0	0	2	0	0	0	0	0	4	4	0	2	0	0	0	0	10	14	0	0	15	0	55	149	39	85	123	0.6504
Public Class	android.print.PrintAttributes	74	52	1105	41	0	0	762	2	46	0	0	10	32	74	2	0	0	0	2	70	166	9	17	8	6	0	2	0	0	0	56	12	0	4	2	40	8	39	2	4	0	0	4	0	0	0	0	0	0	0	55	226	0	0	0	6	0	0	59	212	4	15	73	0	1216	2097	426	908	199	0.3719
Public Abstract Class	android.print.PrintDocumentAdapter	93	53	89	24	0	0	32	0	4	0	3	8	17	100	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	44	0	22	4	2	0	0	7	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	106	163	34	110	131	0.7099
Public Class	android.print.PrintDocumentInfo	43	39	380	21	0	0	148	1	24	0	0	6	27	75	2	0	0	0	0	24	12	4	4	0	0	0	0	0	0	0	6	2	0	2	0	6	0	19	2	0	0	0	0	0	0	0	0	0	0	0	40	17	0	0	0	0	0	0	138	96	0	0	6	0	433	786	14	245	2	21.5000
Public Class	android.print.PrinterCapabilitiesInfo	3	3	300	12	0	0	335	2	63	0	0	15	36	84	2	0	0	0	0	38	22	0	14	0	0	0	0	0	0	0	14	0	0	0	0	8	0	10	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	10	166	0	4	6	0	254	622	35	175	0	-1.0000
Public Class	android.print.PrinterId	5	3	204	16	0	0	80	2	17	0	0	7	22	48	2	0	0	0	0	12	0	0	0	14	0	0	0	0	0	0	28	0	0	0	0	8	8	14	8	8	0	6	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	8	10	0	0	70	0	162	308	33	127	0	-1.0000
Public Class	android.print.PrinterInfo	288	231	1168	27	0	0	184	2	33	0	0	8	27	72	2	0	0	0	0	72	52	40	62	4	0	0	0	2	0	0	150	2	0	2	4	26	2	25	2	4	0	4	2	0	0	0	0	0	0	0	30	18	4	0	0	2	0	0	110	360	4	82	97	0	1405	2247	284	1079	0	-1.0000
Public Class	android.print.PrintJob	456	400	86	16	0	0	76	1	21	0	0	4	27	57	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	7	0	14	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	2	0	0	15	8	0	4	6	0	133	166	53	101	9	50.6667
Public Class	android.print.PrintJobId	1	1	2	2	0	0	58	1	13	0	0	6	21	68	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	1	4	0	-1.0000
Public Class	android.print.PrintJobInfo	46	27	567	43	0	0	296	2	57	0	0	13	53	91	2	0	0	0	0	12	6	6	10	3	6	0	0	0	0	0	2	0	0	0	0	31	8	41	0	0	0	3	2	0	0	0	0	0	0	2	44	27	0	0	0	6	0	0	158	84	32	38	44	0	838	971	262	509	2	23.0000
Public Class	android.print.PrintManager	161	57	930	49	0	0	679	3	38	0	0	26	26	70	2	0	2	0	9	4	4	0	0	0	3	4	28	7	8	4	14	0	0	0	0	12	4	47	16	6	0	2	11	4	0	0	0	2	0	16	46	41	0	0	0	0	0	2	330	127	28	52	95	0	1221	1393	505	863	89	1.8090
Public Class	android.printservice.PrintDocument	1089	961	31	9	0	0	40	2	7	0	0	8	16	41	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	7	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	9	3	0	0	0	0	63	82	3	39	1	1089.0000
Public Abstract Class	android.printservice.PrinterDiscoverySession	33	23	565	17	0	0	214	4	62	0	0	11	35	77	2	0	0	0	4	24	10	12	8	0	0	0	30	2	0	2	8	0	0	0	0	42	2	15	0	2	0	0	0	0	0	0	0	0	0	0	48	14	0	0	0	0	0	0	206	94	6	20	14	0	792	1171	44	580	1	33.0000
Public Class	android.printservice.PrintJob	1639	1244	278	34	0	0	165	2	39	0	0	9	37	82	2	0	0	0	0	12	2	0	0	0	0	0	2	4	2	2	21	0	0	0	0	31	0	32	0	0	0	2	0	0	0	0	0	0	0	0	34	2	0	0	0	2	0	0	53	20	0	6	49	0	394	586	64	314	1	1639.0000
Public Abstract Class	android.printservice.PrintService	14	12	511	37	0	0	238	3	16	3	0	18	265	96	2	0	0	2	2	11	6	0	0	15	0	0	0	4	0	0	8	0	0	0	0	51	4	35	8	8	0	0	0	0	0	0	0	0	0	2	8	26	0	0	0	0	2	0	163	46	22	14	70	2	790	1178	171	574	1	14.0000
Public Class	android.provider.AlarmClock	7	5	43	15	0	0	17	0	0	0	0	3	13	0	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	44	83	15	22	0	-1.0000
Public Class	android.provider.Browser	70	40	1514	118	0	0	303	4	47	0	0	26	31	98	1	0	0	0	5	6	25	12	19	8	0	0	20	15	3	0	31	0	1	68	4	101	0	116	0	0	0	8	0	0	0	0	0	0	0	5	22	74	0	0	0	0	0	0	308	459	2	74	123	0	1061	2181	947	1638	96	0.7292
Public Class	android.provider.CalendarContract	1	1	516	119	0	0	808	0	1	0	0	4	14	100	2	0	6	0	0	16	15	0	0	35	0	4	0	0	0	0	0	6	0	36	4	92	0	117	6	0	0	0	0	0	0	0	8	0	0	6	0	62	0	0	0	0	0	0	35	0	0	0	32	0	361	593	199	511	30	0.0333
Public Class	android.provider.CallLog	11	5	530	79	0	0	141	0	0	0	0	2	13	0	1	0	0	0	0	2	0	24	20	0	0	0	18	8	6	6	37	0	1	6	0	6	0	77	2	2	0	0	0	0	0	0	0	0	0	0	7	50	0	0	0	0	0	0	130	62	0	52	13	0	300	505	262	352	1	11.0000
Public Class	android.provider.Contacts	225	121	1858	72	0	0	881	0	1	0	0	3	14	100	1	0	0	0	0	0	0	4	2	0	0	0	2	0	0	0	6	15	1	237	3	1268	2	70	0	0	0	0	0	0	0	0	0	0	4	4	6	93	0	0	0	0	0	0	32	46	2	16	44	0	1037	2260	328	1297	2	112.5000
